#item,x,y,width,height,label
6585698761,7,77,215,179,4
2759634761,223,239,17,17,4
9202652761,139,195,16,10,4
5130695761,122,179,34,13,4
2446406761,95,170,13,11,4
6970083761,57,166,21,10,4
1055945761,195,165,13,11,4
2278756761,105,155,16,10,4
4773847761,58,144,28,12,4
8058502761,207,145,17,10,4
6931784761,160,131,21,17,4
4519840761,117,113,19,31,4
2247731761,73,11,151,133,4
4969333761,73,120,27,21,4
8399062761,97,83,23,28,4
2902014761,60,75,15,30,4
9251405761,112,32,4,47,4
5218585761,14,20,96,54,4
