#item,x,y,width,height,label
3462321442,19,167,166,89,4
5768048442,119,208,15,30,4
7428694442,95,203,24,14,4
9700464442,186,192,18,17,4
3612013442,122,178,28,30,4
6048581442,103,176,16,9,4
5833740442,84,168,16,12,4
8092539442,208,88,26,89,4
5970327442,92,136,37,30,4
8599320442,199,145,25,11,4
5794299442,12,85,17,55,4
6929208442,71,127,18,10,4
8420190442,102,103,33,31,4
6479507442,43,120,19,9,4
4321905442,161,109,20,19,4
8918405442,56,97,24,29,4
3166946442,135,112,23,9,4
7916802442,99,17,46,87,4
7640289442,164,88,29,14,4
9716615442,42,68,26,18,4
5983602442,140,67,26,10,4
8764583442,58,32,33,15,4
2288970442,104,28,24,11,4
2633926442,148,27,29,13,4
